"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Testcase to validate token generation with valid request","889","TC1: Valid request returns 200 & token","Tests","Wed Jan 21 16:40:57 IST 2026","passed","Wed Jan 21 16:40:58 IST 2026","","test_login_token1","",""
"Testcase to validate token generation with missing payload","260","TC4: Missing payload should return error","Tests","Wed Jan 21 16:41:00 IST 2026","passed","Wed Jan 21 16:41:01 IST 2026","","test_login_token1","",""
"Testcase to validate that token API supports only POST method","157","TC3: Token API supports only POST method","Tests","Wed Jan 21 16:40:59 IST 2026","passed","Wed Jan 21 16:41:00 IST 2026","","test_login_token1","",""
"Testcase to validate that token API supports only POST method","116","TC3: Token API supports only POST method","Tests","Wed Jan 21 16:40:59 IST 2026","passed","Wed Jan 21 16:40:59 IST 2026","","test_login_token1","",""
"Validate API response for corrupted or malformed payload","330","TC5: Invalid payload should not return a valid token","Tests","Wed Jan 21 16:41:01 IST 2026","passed","Wed Jan 21 16:41:01 IST 2026","","test_login_token1","",""
"Testcase to validate token generation response time","854","TC2: Token generation response time < 2 seconds","Tests","Wed Jan 21 16:40:58 IST 2026","passed","Wed Jan 21 16:40:59 IST 2026","","test_login_token1","",""
"Testcase to validate that token API supports only POST method","192","TC3: Token API supports only POST method","Tests","Wed Jan 21 16:40:59 IST 2026","passed","Wed Jan 21 16:40:59 IST 2026","","test_login_token1","",""
"Create Token for Authorization","1226","Token pass ","Tests","Wed Jan 21 16:40:56 IST 2026","passed","Wed Jan 21 16:40:57 IST 2026","","test_boundary","",""
"Testcase to validate that token API supports only POST method","149","TC3: Token API supports only POST method","Tests","Wed Jan 21 16:40:59 IST 2026","passed","Wed Jan 21 16:40:59 IST 2026","","test_login_token1","",""
"This test is expected to fail due to invalid payload","118","TC6: Invalid payload expected failure test","Tests","Wed Jan 21 16:41:00 IST 2026","failed","Wed Jan 21 16:41:00 IST 2026","","test_login_token1","",""
"Validate Aadhaar number with valid token should return 200","1143","TC1: Validate Aadhaar with valid token","Tests","Wed Jan 21 16:45:04 IST 2026","passed","Wed Jan 21 16:45:05 IST 2026","","test_Aadhar_validation_api","",""
